article_pubyear,publisher,member,n_items
2017,British Institute of Radiology,45,1
2017,Universidad Complutense de Madrid (UCM),3169,1
2017,SynthesisHub Advance Scientific Research,17074,1
2017,Botanic Garden & Botanical Museum Berlin-Dahlem BGBM,1942,1
2017,Korean Society of Electron Microscopy,4672,1
2017,European Respiratory Society (ERS),81,1
2017,American Association of Physics Teachers (AAPT),3,1
2017,Naturalis Biodiversity Center,2084,1
2017,Asia Pacific Academy of Ophthalmology,9895,1
2017,"Bio-Protocol, LLC",9223,1
2017,CSIRO Publishing,67,1
2017,Berghahn Books,1748,1
2017,American Society for Pharmacology & Experimental Therapeutics (ASPET),36,1
2017,American Society for Clinical Investigation,232,1
2017,American Society of Civil Engineers (ASCE),30,1
2017,Mary Ann Liebert Inc,278,1
2017,Universidad Nacional Autonoma de Mexico,9467,1
2017,Physical Society of Japan,4365,1
2017,American Psychological Association (APA),15,1
2017,Anticancer Research USA Inc.,9336,1
2017,The Korean Welding and Joining Society,3787,1
2017,Bentham Science Publishers Ltd.,965,1
2017,Staats- und Universitatsbibliothek Hamburg Carl von Ossietzky,25426,1
2017,Canadian Science Publishing,155,1
2017,Medknow,2581,1
2018,Elsevier BV,78,756
2018,Springer Science and Business Media LLC,297,586
2018,Wiley,311,413
2018,American Physical Society (APS),16,281
2018,Royal Society of Chemistry (RSC),292,161
2018,Oxford University Press (OUP),286,137
2018,Informa UK Limited,301,95
2018,Proceedings of the National Academy of Sciences,341,65
2018,American Geophysical Union (AGU),13,43
2018,Georg Thieme Verlag KG,194,32
2018,AIP Publishing,317,30
2018,IOP Publishing,266,28
2018,The Royal Society,175,28
2018,"Trans Tech Publications, Ltd.",2457,26
2018,American Meteorological Society,12,19
2018,International Union of Crystallography (IUCr),329,18
2018,Cambridge University Press (CUP),56,17
2018,AME Publishing Company,8611,16
2018,SAGE Publications,179,16
2018,Walter de Gruyter GmbH,374,16
2018,American Society for Microbiology,235,13
2018,American Mathematical Society (AMS),14,12
2018,The Company of Biologists,237,11
2018,Institute of Electrical and Electronics Engineers (IEEE),263,11
2018,World Scientific Pub Co Pte Lt,219,10
2018,Ovid Technologies (Wolters Kluwer Health),276,10
2018,S. Karger AG,127,9
2018,American Society for Cell Biology (ASCB),1076,9
2018,BMJ,239,9
2018,EMBO,79,9
2018,EDP Sciences,250,8
2018,SPIE-Intl Soc Optical Eng,189,8
2018,Mary Ann Liebert Inc,278,8
2018,Rockefeller University Press,291,7
2018,Scientific Societies,1665,6
2018,American Physiological Society,24,4
2018,Geological Society of America,257,4
2018,American Vacuum Society,20,4
2018,Portland Press Ltd.,288,4
2018,Baishideng Publishing Group Inc.,2060,4
2018,Laser Institute of America,1208,4
2018,American Society of Clinical Oncology (ASCO),233,4
2018,Bioscientifica,416,4
2018,Society of Nuclear Medicine,1602,3
2018,Spandidos Publications,2249,3
2018,CSIRO Publishing,67,3
2018,Microbiology Society,345,3
2018,MDPI AG,1968,3
2018,Society for Neuroscience,393,3
2018,Moscow Regional State University,7659,2
2018,Cold Spring Harbor Laboratory,246,2
2018,John Benjamins Publishing Company,1757,2
2018,Medknow,2581,2
2018,The American Association of Immunologists,2487,2
2018,IWA Publishing,945,2
2018,Canadian Science Publishing,155,2
2018,American Psychological Association (APA),15,2
2018,Duke University Press,73,2
2018,Bentham Science Publishers Ltd.,965,2
2018,American Association for Cancer Research (AACR),1086,2
2018,MIT Press - Journals,281,2
2018,American Society of Neuroradiology (ASNR),1756,2
2018,Acoustical Society of America (ASA),231,2
2018,Egypts Presidential Specialized Council for Education and Scientific Research,9060,1
2018,Geological Society of London,1881,1
2018,Akademiai Kiado Zrt.,425,1
2018,American Society of Plant Biologists (ASPB),37,1
2018,Radiological Society of North America (RSNA),1577,1
2018,Universidad Catolica del Norte - Chile,9468,1
2018,Institution of Engineering and Technology (IET),265,1
2018,Future Science Ltd,2641,1
2018,Physical Society of Japan,4365,1
2018,Edinburgh University Press,1931,1
2018,Mineralogical Society,7149,1
2018,Springer Fachmedien Wiesbaden GmbH,93,1
2018,Thomas Telford Ltd.,735,1
2018,Kasetsart University and Development Institute,19614,1
2018,Future Medicine Ltd,1057,1
2018,Naturalis Biodiversity Center,2084,1
2018,Hogrefe Publishing Group,101,1
2019,Wiley,311,2579
2019,Elsevier BV,78,916
2019,Springer Science and Business Media LLC,297,677
2019,Royal Society of Chemistry (RSC),292,266
2019,American Physical Society (APS),16,234
2019,Oxford University Press (OUP),286,174
2019,Informa UK Limited,301,137
2019,SAGE Publications,179,130
2019,American Geophysical Union (AGU),13,101
2019,Cambridge University Press (CUP),56,93
2019,IOP Publishing,266,68
2019,EDP Sciences,250,64
2019,Proceedings of the National Academy of Sciences,341,61
2019,Georg Thieme Verlag KG,194,47
2019,Walter de Gruyter GmbH,374,42
2019,AIP Publishing,317,31
2019,EMBO,79,28
2019,Ovid Technologies (Wolters Kluwer Health),276,27
2019,International Union of Crystallography (IUCr),329,25
2019,BMJ,239,22
2019,American Mathematical Society (AMS),14,21
2019,Scientific Societies,1665,15
2019,The Royal Society,175,14
2019,"Trans Tech Publications, Ltd.",2457,14
2019,The Electrochemical Society,77,13
2019,American Society for Microbiology,235,12
2019,Rockefeller University Press,291,11
2019,Mary Ann Liebert Inc,278,9
2019,S. Karger AG,127,8
2019,IOS Press,7437,8
2019,The Company of Biologists,237,7
2019,Springer Fachmedien Wiesbaden GmbH,93,7
2019,American Society for Cell Biology (ASCB),1076,7
2019,Portland Press Ltd.,288,7
2019,World Scientific Pub Co Pte Lt,219,7
2019,Baishideng Publishing Group Inc.,2060,6
2019,American Meteorological Society,12,5
2019,Spandidos Publications,2249,5
2019,SPIE-Intl Soc Optical Eng,189,5
2019,American Physiological Society,24,4
2019,Microbiology Society,345,4
2019,Cold Spring Harbor Laboratory,246,4
2019,"Vandenhoeck & Ruprecht GmbH & Co, KG",5267,4
2019,IWA Publishing,945,4
2019,Future Medicine Ltd,1057,4
2019,Society for Neuroscience,393,4
2019,Annual Reviews,22,3
2019,Geological Society of America,257,3
2019,American Society of Neuroradiology (ASNR),1756,3
2019,Acoustical Society of America (ASA),231,3
2019,American Thoracic Society,19,3
2019,Antiquity Publications,5856,3
2019,The Endocrine Society,80,3
2019,"Society for Mining, Metallurgy and Exploration Inc.",297,2
2019,American Society of Tropical Medicine and Hygiene,2795,2
2019,Brill,50,2
2019,American Vacuum Society,20,2
2019,Society of Nuclear Medicine,1602,2
2019,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),8249,2
2019,Bioscientifica,416,2
2019,American Society of Plant Biologists (ASPB),37,2
2019,"Bio-Protocol, LLC",9223,2
2019,Institution of Engineering and Technology (IET),265,2
2019,The Journal of Rheumatology,2262,1
2019,Hogrefe Publishing Group,101,1
2019,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,9598,1
2019,American Roentgen Ray Society,1049,1
2019,American Medical Association (AMA),10,1
2019,CSIRO Publishing,67,1
2019,Geological Society of London,1881,1
2019,Future Science Ltd,2641,1
2019,American Speech Language Hearing Association,1310,1
2019,American Institute of Aeronautics and Astronautics (AIAA),1387,1
2019,American Society of Clinical Oncology (ASCO),233,1
2019,MDPI AG,1968,1
2019,American Association for the Advancement of Science (AAAS),221,1
2019,National Inquiry Services Center (NISC),14412,1
2019,Institute of Electrical and Electronics Engineers (IEEE),263,1
2019,Duke University Press,73,1
2019,American Society for Pharmacology & Experimental Therapeutics (ASPET),36,1
2019,Radiological Society of North America (RSNA),1577,1
2019,Society of Economic Geologists,3361,1
2020,Wiley,311,5739
2020,Springer Science and Business Media LLC,297,4697
2020,Elsevier BV,78,1191
2020,American Physical Society (APS),16,361
2020,Royal Society of Chemistry (RSC),292,330
2020,Oxford University Press (OUP),286,204
2020,IOP Publishing,266,190
2020,American Geophysical Union (AGU),13,190
2020,SAGE Publications,179,185
2020,Cambridge University Press (CUP),56,106
2020,Walter de Gruyter GmbH,374,89
2020,EDP Sciences,250,78
2020,AIP Publishing,317,76
2020,Proceedings of the National Academy of Sciences,341,62
2020,International Union of Crystallography (IUCr),329,58
2020,Springer Fachmedien Wiesbaden GmbH,93,51
2020,The Royal Society,175,51
2020,Informa UK Limited,301,47
2020,S. Karger AG,127,46
2020,EMBO,79,44
2020,Georg Thieme Verlag KG,194,32
2020,BMJ,239,25
2020,IOS Press,7437,20
2020,American Society for Microbiology,235,20
2020,Ovid Technologies (Wolters Kluwer Health),276,17
2020,Institution of Engineering and Technology (IET),265,15
2020,The Electrochemical Society,77,12
2020,Portland Press Ltd.,288,11
2020,"Vandenhoeck & Ruprecht GmbH & Co, KG",5267,11
2020,Mary Ann Liebert Inc,278,10
2020,Rockefeller University Press,291,10
2020,Society for Neuroscience,393,9
2020,The Endocrine Society,80,9
2020,The Company of Biologists,237,8
2020,Acoustical Society of America (ASA),231,7
2020,American Vacuum Society,20,7
2020,SPIE-Intl Soc Optical Eng,189,7
2020,American Association for the Advancement of Science (AAAS),221,6
2020,American Dairy Science Association,1747,6
2020,MDPI AG,1968,6
2020,Baishideng Publishing Group Inc.,2060,6
2020,American Physiological Society,24,6
2020,Future Medicine Ltd,1057,6
2020,European Respiratory Society (ERS),81,5
2020,"Bio-Protocol, LLC",9223,5
2020,American Society of Clinical Oncology (ASCO),233,4
2020,American Thoracic Society,19,4
2020,John Benjamins Publishing Company,1757,4
2020,World Scientific Pub Co Pte Lt,219,4
2020,Laser Institute of America,1208,4
2020,American Psychological Association (APA),15,3
2020,American Medical Association (AMA),10,3
2020,Scientific Societies,1665,3
2020,American Society of Tropical Medicine and Hygiene,2795,3
2020,Cold Spring Harbor Laboratory,246,3
2020,American Society for Cell Biology (ASCB),1076,3
2020,Mineralogical Society of America,10602,3
2020,Duke University Press,73,3
2020,Microbiology Society,345,3
2020,IWA Publishing,945,2
2020,JMIR Publications Inc.,1010,2
2020,Spandidos Publications,2249,2
2020,American Meteorological Society,12,2
2020,Japan Prosthodontic Society,996,2
2020,Antiquity Publications,5856,2
2020,Hogrefe Publishing Group,101,2
2020,ECO-Vector LLC,7284,2
2020,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,9598,2
2020,Physical Society of Japan,4365,2
2020,American Mathematical Society (AMS),14,2
2020,American Society of Plant Biologists (ASPB),37,2
2020,CSIRO Publishing,67,2
2020,The Korean Society of Cardiology,2524,1
2020,American Society for Pharmacology & Experimental Therapeutics (ASPET),36,1
2020,"Shorenstein Center for Media, Politics, and Public Policy",23059,1
2020,Equinox Publishing,426,1
2020,British Institute of Radiology,45,1
2020,AME Publishing Company,8611,1
2020,Virtus Interpress,9787,1
2020,MONOMAX Limited Liability Company,28352,1
2020,Society of Exploration Geophysicists,186,1
2020,"Cognizant, LLC",2029,1
2020,"Trans Tech Publications, Ltd.",2457,1
2020,Royal College of Psychiatrists,170,1
2020,Annual Reviews,22,1
2020,Geological Society of America,257,1
2020,ASME International,33,1
2020,Bioscientifica,416,1
2020,Society of Economic Geologists,3361,1
2020,Korean Society of Heart Failure,22599,1
2020,Geological Society of London,1881,1
2020,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),8249,1
2020,MIT Press - Journals,281,1
2020,Zhejiang University Press,635,1
2020,American Speech Language Hearing Association,1310,1
2020,Radiological Society of North America (RSNA),1577,1
2020,American Association for Cancer Research (AACR),1086,1
2020,American Society of Neuroradiology (ASNR),1756,1
2020,Commonwealth Forestry Association,384,1
2020,Copernicus GmbH,3145,1
2020,Mises Institute,20406,1
